respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.04999800086830793,0.2970736182406011
26708,0.04636347769460973,0.04644546625410389
26709,0.3673105235586208,0.5156963886944768
26710,0.5141610461241424,0.8814386162446077
26711,0.15012027276694725,0.4575381118815504
26712,0.46188099009311573,0.9252422952977248
26713,0.3446849069654954,0.600274193004382
26714,0.14498807379936116,0.22549768739292475
26715,0.03944931660536281,0.1490765448795029
26716,0.22539446557146084,0.8947162066157485
26717,0.011823537107136226,0.3052772367882161
26718,0.2137179049608793,0.5487486616983569
26719,0.06824934696794806,0.9152880763484087
26720,0.06024759964923222,0.20840981578885948
26721,0.2734802131171559,0.34072158582221934
26722,0.0722606231977567,0.09759109430732228
26723,0.6975713417791416,0.8735993798184871
26724,0.1302532941604294,0.6460238404730213
26725,0.026709395121512568,0.07529100660371536
26726,0.010820189707526044,0.031197675678937387
26727,0.34639292620428747,0.841357874867856
26728,0.16664060779517886,0.6011109598514242
26729,0.4289301717370741,0.9059508074674651
26730,0.03431581994420983,0.19257647054713417
26731,0.020831872073521912,0.3372015682519886
26732,0.0865403647202555,0.07506837151940096
26733,0.9199673785998622,0.9552277034181468
26734,0.9000607191372186,0.356086350899411
26735,0.14704729145167927,0.4901435386158557
26736,0.05338863082144302,0.15989094696258221
26737,0.08160275621848144,0.10108269341572013
26738,0.5713771826710544,0.8040752784043763
26739,0.13252925578625938,0.27301774046590155
26740,0.14416885941910995,0.1251853497684866
26741,0.2132262740408196,0.9052649215287636
26742,0.0971893859086014,0.42864281062992593
26743,0.04810572885594912,0.562753224523431
26744,0.05274119857302164,0.6480168561462268
26745,0.11737107312945559,0.9338671271399562
26746,0.1099661090088282,0.32723072584724805
26747,0.07073949804441931,0.16240444735419712
26748,0.08724919344209549,0.03782054021890775
26749,0.11687797749368128,0.7004577634052145
26750,0.6662252018246807,0.932324139545228
26751,0.2851486043548054,0.7131578372764232
26752,0.022642190653926475,0.018372691736045117
26753,0.22496941325031947,0.6852181372387961
26754,0.1254988471493655,0.5999622844921054
26755,0.0960967528329735,0.377733317647168
26756,0.019400698404763075,0.031956854483995135
26757,0.42155097513729245,0.5325445787332405
26758,0.6938222388158961,0.8834307348470799
26759,0.038980504947665404,0.22573023130650777
26760,0.013791256877985606,0.028569354336319935
26761,0.1608773335945119,0.6224545753929674
26762,0.1422913170475957,0.8236359308437569
26763,0.894891867244996,0.9693869769930442
26764,0.9204421301289383,0.9643484614900053
26765,0.031663193018647125,0.6922442613420539
26766,0.10185283009416232,0.1714162482634678
26767,0.7751536285416314,0.7521007563352354
26768,0.01091755708011967,0.4222599392166312
26769,0.1233600342638748,0.15984818559755146
26770,0.09195792920290387,0.5211466267132029
26771,0.06153168289543146,0.20318318778759736
26772,0.04950547649025335,0.43147197351939265
26773,0.014362408543199976,0.46884297644934797
